month,month-year,overall,public_housing,1-room_2-room,3-room,4-room,5-room_and_executive,private_housing,private_apts_and_condo,landed_properties,others,mean_temp,total_rainfall,mean_rh
2005-01-01,2005-01,447.8,280.7,6.3,52.9,111.1,110.4,166.2,95.8,70.4,0.9,26.6,163.2,83.3
2005-02-01,2005-02,437.1,270.8,6.0,51.5,107.3,106.0,165.5,94.8,70.7,0.9,28.5,8.4,77.7
2005-03-01,2005-03,479.7,295.4,6.1,55.4,117.1,116.8,183.3,104.8,78.5,1.0,28.5,82.4,80.3
2005-04-01,2005-04,533.6,331.6,6.9,61.4,131.5,131.8,200.9,117.9,83.1,1.1,28.7,81.7,81.0
2005-05-01,2005-05,535.0,330.5,6.8,61.5,130.9,131.2,203.5,120.4,83.1,1.1,28.5,331.1,84.6
2005-06-01,2005-06,560.2,347.9,7.0,64.4,138.3,138.1,211.3,124.5,86.8,1.1,28.8,82.3,82.7
2005-07-01,2005-07,537.4,335.3,6.9,61.9,133.0,133.5,201.1,118.9,82.2,1.0,28.0,104.0,84.0
2005-08-01,2005-08,528.8,330.1,7.0,61.7,130.8,130.7,197.7,116.2,81.4,1.0,28.2,58.5,82.9
2005-09-01,2005-09,516.3,321.0,6.6,59.4,127.5,127.6,194.3,114.1,80.2,1.0,28.2,175.7,84.2
2005-10-01,2005-10,520.0,319.0,6.5,59.1,126.6,126.8,200.0,118.1,81.9,1.1,27.6,314.5,85.2
2005-11-01,2005-11,518.6,319.7,6.4,59.1,127.0,127.2,197.8,117.2,80.6,1.0,27.3,362.9,86.4
2005-12-01,2005-12,478.0,295.4,6.0,55.3,117.0,117.2,181.6,106.9,74.7,0.9,27.3,166.0,85.6
2006-01-01,2006-01,465.5,289.6,5.8,53.3,114.8,115.6,175.0,103.5,71.5,0.9,26.5,454.4,87.8
2006-02-01,2006-02,452.3,277.9,5.5,51.8,109.9,110.7,173.5,100.8,72.7,0.9,27.5,115.5,84.0
2006-03-01,2006-03,470.0,286.1,5.4,52.9,113.7,114.0,183.0,106.2,76.8,0.9,28.3,83.1,81.3
2006-04-01,2006-04,511.3,311.8,5.9,57.8,123.8,124.3,198.5,117.3,81.2,1.1,27.6,239.8,87.0
2006-05-01,2006-05,522.0,318.9,6.0,59.1,126.6,127.2,202.1,121.0,81.1,1.1,28.1,205.7,85.2
2006-06-01,2006-06,533.2,329.0,6.1,60.7,130.8,131.5,203.2,121.7,81.5,1.1,27.8,236.8,86.3
2006-07-01,2006-07,513.2,317.4,5.9,58.4,125.8,127.3,194.8,116.9,78.0,1.0,28.4,153.8,83.8
2006-08-01,2006-08,544.2,334.9,6.1,61.3,133.1,134.4,208.3,124.1,84.2,1.0,28.3,127.3,81.9
2006-09-01,2006-09,541.4,331.8,6.1,60.7,131.5,133.4,208.6,124.6,84.0,1.0,28.0,83.3,81.0
2006-10-01,2006-10,525.7,320.0,6.0,59.0,126.8,128.2,204.6,121.3,83.3,1.1,28.3,102.0,80.9
2006-11-01,2006-11,535.2,327.2,6.1,59.6,129.7,131.8,207.0,124.1,82.9,1.1,27.3,185.6,87.4
2006-12-01,2006-12,495.0,302.4,5.8,55.5,119.6,121.4,191.6,114.5,77.1,1.0,26.6,765.9,88.5
2007-01-01,2007-01,473.6,291.5,5.7,53.5,115.4,116.8,181.1,107.9,73.2,1.0,26.5,450.1,86.8
2007-02-01,2007-02,444.4,271.6,5.5,51.0,107.1,108.1,171.8,100.8,71.0,0.9,27.3,105.5,82.5
2007-03-01,2007-03,451.8,274.4,5.3,50.4,108.5,110.1,176.5,103.7,72.7,0.9,27.5,269.1,84.9
2007-04-01,2007-04,511.0,311.5,5.8,57.3,123.6,124.9,198.4,117.7,80.6,1.1,28.1,240.2,84.7
2007-05-01,2007-05,542.8,330.2,6.2,60.8,130.7,132.5,211.5,128.0,83.5,1.1,28.3,127.2,84.8
2007-06-01,2007-06,556.0,340.3,6.4,62.6,134.6,136.7,214.6,129.4,85.2,1.1,28.4,139.0,82.8
2007-07-01,2007-07,563.1,343.6,6.4,63.2,135.7,138.3,218.5,131.6,86.8,1.1,27.7,141.7,84.8
2007-08-01,2007-08,555.0,340.6,6.3,62.8,134.8,136.7,213.3,127.9,85.4,1.1,27.7,190.7,82.9
2007-09-01,2007-09,513.6,315.6,6.1,58.4,124.6,126.4,197.0,118.1,78.9,1.0,27.8,149.0,83.3
2007-10-01,2007-10,514.7,314.5,6.0,57.7,124.3,126.5,199.1,118.1,81.0,1.1,27.8,237.2,83.2
2007-11-01,2007-11,547.9,333.8,6.4,61.6,132.1,133.7,213.0,127.2,85.9,1.1,26.9,367.9,86.5
2007-12-01,2007-12,489.9,299.9,5.9,55.8,118.6,119.7,189.1,112.4,76.6,1.0,26.4,468.6,86.8
2008-01-01,2008-01,467.1,288.5,5.8,53.6,114.0,115.1,177.6,104.8,72.8,1.0,26.8,262.6,86.0
2008-02-01,2008-02,472.7,288.6,5.7,53.9,114.1,115.0,183.1,106.6,76.5,1.0,26.7,129.2,82.9
2008-03-01,2008-03,449.5,272.2,5.3,50.6,107.6,108.7,176.3,103.9,72.4,0.9,26.5,294.1,87.1
2008-04-01,2008-04,491.5,303.2,5.8,56.1,120.1,121.2,187.3,111.1,76.2,1.0,28.1,87.2,82.0
2008-05-01,2008-05,544.0,333.1,6.3,61.7,132.2,132.9,209.8,126.0,83.8,1.1,28.8,124.9,79.1
2008-06-01,2008-06,572.5,345.5,6.5,64.4,136.7,137.8,225.9,135.9,90.0,1.2,28.2,118.3,81.5
2008-07-01,2008-07,525.8,323.7,6.2,59.5,128.2,129.9,201.1,120.2,80.9,1.0,27.8,89.1,81.3
2008-08-01,2008-08,510.1,312.8,6.0,58.0,124.1,124.7,196.3,117.5,78.8,1.0,27.4,327.3,83.8
2008-09-01,2008-09,519.1,319.2,6.1,59.1,126.6,127.4,198.9,117.7,81.2,1.1,27.7,164.4,82.7
2008-10-01,2008-10,522.1,318.8,6.2,58.6,126.3,127.8,202.2,120.6,81.6,1.1,27.6,159.5,84.9
2008-11-01,2008-11,535.6,323.9,6.4,60.1,128.5,129.0,210.5,127.3,83.2,1.1,27.3,324.3,85.9
2008-12-01,2008-12,484.0,294.4,5.7,55.0,117.0,116.6,188.6,111.9,76.7,1.0,26.9,244.2,83.7
2009-01-01,2009-01,476.4,290.8,5.9,53.9,115.5,115.5,184.5,108.7,75.8,1.0,26.8,38.3,79.1
2009-02-01,2009-02,460.5,280.3,5.6,52.4,111.1,111.1,179.3,104.1,75.3,0.9,27.3,201.8,80.7
2009-03-01,2009-03,461.2,279.0,5.5,51.8,110.8,110.8,181.3,107.1,74.2,0.9,27.2,223.3,85.4
2009-04-01,2009-04,510.5,310.2,6.1,57.7,123.4,123.1,199.3,118.8,80.4,1.1,28.5,183.7,82.2
2009-05-01,2009-05,556.6,336.4,6.6,62.6,133.3,134.1,219.0,133.0,86.0,1.2,28.7,198.6,83.0
2009-06-01,2009-06,609.5,370.9,6.8,68.1,147.6,148.3,237.4,143.3,94.1,1.2,29.1,21.8,79.8
2009-07-01,2009-07,592.7,359.9,6.8,65.3,142.9,144.9,231.6,140.2,91.4,1.2,28.3,161.0,80.8
2009-08-01,2009-08,572.1,349.7,6.8,65.5,138.2,139.2,221.3,133.3,88.0,1.1,28.3,177.8,80.7
2009-09-01,2009-09,554.9,337.5,6.6,62.3,134.1,134.5,216.2,130.3,86.0,1.1,28.3,109.6,82.0
2009-10-01,2009-10,557.4,337.8,6.7,62.6,134.0,134.5,218.5,131.4,87.1,1.2,28.2,133.4,82.8
2009-11-01,2009-11,562.9,339.0,6.8,62.7,134.3,135.2,222.8,135.8,86.9,1.1,27.2,281.8,85.6
2009-12-01,2009-12,516.0,310.9,6.3,57.9,123.3,123.3,204.1,122.1,81.9,1.1,27.1,189.8,86.3
2010-01-01,2010-01,490.6,298.7,6.2,55.6,119.0,117.9,190.9,113.9,77.0,1.0,27.5,69.5,82.1
2010-02-01,2010-02,503.9,302.9,6.1,56.5,120.2,120.1,199.9,117.5,82.4,1.0,28.9,6.3,77.3
2010-03-01,2010-03,547.6,325.9,6.4,60.4,129.4,129.7,220.7,132.7,88.0,1.1,28.6,238.0,79.9
2010-04-01,2010-04,585.0,352.0,6.8,64.6,140.2,140.4,231.7,140.3,91.5,1.2,28.6,158.5,84.1
2010-05-01,2010-05,573.5,345.9,7.0,64.6,137.3,137.0,226.5,138.6,87.9,1.2,29.2,157.5,82.2
2010-06-01,2010-06,606.0,365.6,7.2,67.8,145.6,145.0,239.1,145.2,93.9,1.3,28.3,240.5,83.9
2010-07-01,2010-07,575.2,349.9,7.0,64.7,139.2,139.0,224.1,137.7,86.4,1.2,27.7,298.5,84.8
2010-08-01,2010-08,539.7,331.2,6.9,61.8,131.6,130.8,207.5,125.4,82.1,1.0,27.9,158.4,84.2
2010-09-01,2010-09,539.2,328.3,6.7,60.8,131.2,129.6,209.8,126.1,83.7,1.1,28.0,121.5,82.5
2010-10-01,2010-10,557.8,335.8,7.0,62.7,133.8,132.4,220.7,134.1,86.6,1.2,28.3,166.2,82.3
2010-11-01,2010-11,581.4,351.2,7.2,65.3,139.9,138.8,229.1,140.4,88.7,1.2,27.4,278.8,85.9
2010-12-01,2010-12,536.2,323.7,6.8,59.9,129.1,127.9,211.4,128.7,82.7,1.1,26.8,181.4,85.3
2011-01-01,2011-01,499.3,303.6,6.7,56.4,121.1,119.4,194.7,117.9,76.8,1.1,26.3,513.2,85.8
2011-02-01,2011-02,461.7,279.3,6.1,52.1,111.2,109.9,181.5,107.3,74.2,0.9,27.3,23.0,81.1
2011-03-01,2011-03,465.7,279.9,6.1,52.2,111.8,109.9,184.9,110.1,74.8,1.0,27.1,256.6,85.5
2011-04-01,2011-04,524.4,314.6,6.7,58.7,125.7,123.5,208.6,127.1,81.5,1.1,27.9,217.8,83.9
2011-05-01,2011-05,565.1,337.9,7.2,63.4,135.2,132.1,226.0,138.5,87.5,1.1,28.5,127.0,85.3
2011-06-01,2011-06,602.8,364.7,7.6,67.8,146.0,143.3,236.8,145.4,91.5,1.3,28.4,213.0,83.7
2011-07-01,2011-07,586.0,354.9,7.6,65.9,141.8,139.6,229.9,142.8,87.1,1.1,28.7,76.6,81.3
2011-08-01,2011-08,590.6,356.5,7.7,66.0,142.7,140.1,232.9,142.2,90.7,1.1,27.9,81.4,82.6
2011-09-01,2011-09,582.6,354.0,7.6,65.4,141.6,139.3,227.5,139.9,87.6,1.1,27.8,136.4,82.7
